,,,,,,c1_b,c1_g,c2_b,c2_g,c3_b,c3_g,c4_b,c4_g,c5_b,c5_g,c6_b,c6_g,c7_b,c7_g,c8_b,c8_g,c9_b,c9_g,c10_b,c10_g,c11_b,c11_g,c12_b,c12_g,tch_m,tch_f,tch_t,tchpri,tchupr,tchregu,tchcont,tchpart,,,,,,,
17,C.R.C. NO. 1,24091500126,AKSHAR GHANMANDIR,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,18,28,18,21,26,28,16,12,8,8,11,19,15,8,14,2,0,0,0,0,0,0,0,0,0,17,17,9,8,17,0,0,,,,,,,
18,C.R.C. NO. 1,24091500129,GYANDIP VIDYALAY,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,28,25,29,28,28,27,36,40,25,31,47,38,40,20,60,30,0,0,0,0,0,0,0,0,2,6,8,4,4,8,0,0,,,,,,,
19,C.R.C. NO. 1,24091500130,MADHURAM VIDYALAY,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,11,7,6,6,7,6,7,7,10,9,5,6,9,4,7,10,0,0,0,0,0,0,0,0,1,1,2,1,1,2,0,0,,,,,,,
20,C.R.C. NO. 1,24091500132,S H GARDI VIDYALAY,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,2,0,0,0,3,2,1,0,5,3,3,2,3,3,1,0,0,0,0,0,0,0,0,0,2,0,2,1,1,2,0,0,,,,,,,
21,C.R.C. NO. 1,24091500133,SHREE DARSAN VIDYALAY,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,25,18,22,15,17,13,16,17,28,21,28,18,23,23,32,21,0,0,0,0,0,0,0,0,1,9,10,5,5,10,0,0,,,,,,,
22,C.R.C. NO. 1,24091500136,SHREE TAXASHILA VIDYALAY RAIYA,Pvt. Aided                                                                 ,Secondary Only                                                             ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,17,26,15,0,0,0,0,4,0,4,0,0,4,0,0,,,,,,,
23,C.R.C. NO. 1,24091500137,MATRUSHRI AMTHIBA VIDYALAYA,Pvt. Aided                                                                 ,Secondary with Higher Secondary                                            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,49,54,54,33,22,28,17,6,1,7,0,0,7,0,0,,,,,,,
24,C.R.C. NO. 1,24091500138,VISHVA JYOT VIDYALAYA-RAJKOT,Pvt. Aided                                                                 ,Secondary Only                                                             ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,38,80,26,0,0,0,0,4,1,5,0,0,5,0,0,,,,,,,
25,C.R.C. NO. 1,24091500139,SARASWATI VIDYALAY,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,14,14,21,17,28,17,20,20,20,14,28,22,20,25,30,35,0,0,0,0,0,0,0,0,1,9,10,8,2,10,0,0,,,,,,,
26,C.R.C. NO. 1,24091500141,SHREE BHARTI MAHA VIDHYALAYA,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,13,24,25,19,17,12,26,21,14,29,18,20,25,9,33,14,0,0,0,0,0,0,0,0,2,6,8,4,4,8,0,0,,,,,,,
27,C.R.C. NO. 1,24091500142,SWAMI VIVEKANAND PRI. SCHOOL-RAIYA RAJKOT,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,14,11,7,4,7,8,7,9,6,7,8,7,5,8,13,6,0,0,0,0,0,0,0,0,1,6,7,7,0,0,7,0,,,,,,,
28,C.R.C. NO. 1,24091500143,SHREE SARASWAT VIDHYA NIKETAN,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,21,7,16,4,9,13,17,9,11,6,9,6,10,4,11,6,0,0,0,0,0,0,0,0,3,7,10,10,0,10,0,0,,,,,,,
29,C.R.C. NO. 1,24091500144,VIVEKANAND VIDHYALAYA,Pvt. Unaided                                                               ,Secondary with Higher Secondary                                            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,21,5,7,2,5,2,2,2,4,0,0,2,2,0,,,,,,,
30,C.R.C. NO. 1,24091500145,SHRI ARUNODAYA HIGH SCHOOL,Pvt. Unaided                                                               ,Secondary Only                                                             ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,6,6,0,0,0,0,3,3,6,0,0,3,3,0,,,,,,,
31,C.R.C. NO. 1,24091500146,PURUSHARTH SHAIKSHANIK SANKUL,Pvt. Unaided                                                               ,Secondary with Higher Secondary                                            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,10,37,12,26,6,17,3,1,4,5,0,0,0,5,0,,,,,,,
32,C.R.C. NO. 1,24091500147,SHREE KRISHNA VIDHYALAYA,Pvt. Unaided                                                               ,Pr. with Up.Pr. sec. and H.Sec.                                            ,23,25,26,21,23,21,29,27,23,21,26,27,22,23,26,16,22,12,33,10,20,16,18,11,6,11,17,7,4,0,17,0,,,,,,,
33,C.R.C. NO. 1,24091500148,UNNATI HIGH SCHOOL,Pvt. Unaided                                                               ,Higher Secondary only/Jr. College                                          ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,16,10,11,1,2,3,0,0,3,0,0,,,,,,,
34,C.R.C. NO. 1,24091500149,SAURABH HIGH SCHOOL,Pvt. Unaided                                                               ,Secondary with Higher Secondary                                            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,28,38,26,5,4,0,0,1,4,5,0,0,5,0,0,,,,,,,
35,C.R.C. NO. 1,24091500150,SHREE MOTIBAI HIGH SCHOOL,Pvt. Unaided                                                               ,Secondary Only                                                             ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,15,18,10,0,0,0,0,4,1,5,0,0,5,0,0,,,,,,,
36,C.R.C. NO. 1,24091500151,SHRI KETAN KANYA VIDHYALAY,Pvt. Aided                                                                 ,Secondary Only                                                             ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,52,58,54,0,0,0,0,2,2,4,0,0,4,0,0,,,,,,,
37,C.R.C. NO. 1,24091500152,SHREE VIDYASAGAR PRIMARY SCHOOL,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,13,12,8,7,3,5,8,1,4,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5,5,0,5,0,0,,,,,,,
38,C.R.C. NO. 12,24091500154,SHRI AMPLE VIDHYA MANDIR,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,1,1,2,1,0,0,2,0,7,0,3,0,4,1,11,0,0,0,0,0,0,0,0,0,2,6,8,5,3,0,8,0,,,,,,,
39,C.R.C. NO. 12,24091500155,SHRI GANESH VIDHYALAY,Pvt. Aided                                                                 ,Secondary Only                                                             ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,21,17,24,0,0,0,0,3,0,3,0,0,3,0,0,,,,,,,
40,C.R.C. NO. 1,24091500156,NAVJIVAN HIGHSCHOOL - RAJKOT,Pvt. Unaided                                                               ,Secondary Only                                                             ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,6,14,5,0,0,0,0,5,3,8,0,0,8,0,0,,,,,,,
41,C.R.C. NO. 12,24091500157,AMPLE MADHYAMIK & UCC. MADHYAMIK SHALA,Pvt. Unaided                                                               ,Secondary with Higher Secondary                                            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,5,6,0,31,3,29,4,4,8,12,0,0,0,12,0,,,,,,,
42,C.R.C. NO. 1,24091500158,SHRI KETAN KANYA VIDHYALAY (HIG.SEC.) ,Pvt. Unaided                                                               ,Higher Secondary only/Jr. College                                          ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,28,0,1,1,0,0,0,1,0,,,,,,,
43,C.R.C. NO. 1,24091500159,PARISHRAM VIDHAYALAYA (HIG.SEC.),Pvt. Unaided                                                               ,Secondary with Higher Secondary                                            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,5,2,3,1,4,0,0,0,4,0,,,,,,,
44,C.R.C. NO. 1,24091500160,DARSHAN SCHOOL,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,38,20,20,12,31,15,26,11,21,7,24,11,21,6,13,5,0,0,0,0,0,0,0,0,5,4,9,5,4,5,4,0,,,,,,,
45,C.R.C. NO. 1,24091500161,VISHVA JYOT VIDYALAYA-RAJKOT,Pvt. Unaided                                                               ,Higher Secondary only/Jr. College                                          ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,16,2,10,3,2,5,0,0,5,0,0,,,,,,,
46,C.R.C. NO. 1,24091500162,NIDHI SCHOOL(ENG.MEDIAM),Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,3,4,2,4,2,2,0,0,3,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,7,9,5,4,9,0,0,,,,,,,
47,C.R.C. NO. 1,24091500163,PATHAK ENGLISH MEDIUM SCHOOL,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,9,7,7,4,9,1,4,3,8,3,9,3,5,2,5,2,0,0,0,0,0,0,0,0,3,3,6,3,3,5,1,0,,,,,,,
48,C.R.C. NO. 1,24091500164,VIVEKANAND VIDHYALAYA,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,0,0,0,0,0,0,2,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,2,2,0,2,0,0,,,,,,,
49,C.R.C. NO. 1,24091500165,SHREE SARSWATI VIDHYALAY,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,18,24,29,39,14,11,32,24,21,25,13,16,8,10,11,6,0,0,0,0,0,0,0,0,1,7,8,8,0,0,8,0,,,,,,,
50,C.R.C. NO. 8,24091500202,SCHOOL NO. 3,Municipal School Board(MSB)                                                ,Primary with Upper Primary                                                 ,10,7,8,3,10,14,15,12,8,5,13,3,11,4,0,0,0,0,0,0,0,0,0,0,0,6,6,4,2,6,0,0,,,,,,,
51,C.R.C. NO. 2,24091500209,SENT GARGI SCHOOL,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,33,18,25,26,13,23,21,14,16,23,21,9,22,17,21,21,0,0,0,0,0,0,0,0,0,8,8,4,4,7,1,0,,,,,,,
52,C.R.C. NO. 2,24091500210,SHREE SANSKARDHAM PRI.SCHOOL,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,13,11,15,17,14,20,18,21,19,18,24,40,23,28,19,35,0,0,0,0,0,0,0,0,1,12,13,5,8,13,0,0,,,,,,,
53,C.R.C. NO. 2,24091500213,ADITYA PRIMARY SCHOOL,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,7,5,11,7,11,7,11,2,8,6,5,8,8,8,2,2,0,0,0,0,0,0,0,0,0,9,9,4,5,9,0,0,,,,,,,
54,C.R.C. NO. 2,24091500214,SHAMS VIDHYALAYA,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,15,8,11,5,13,11,13,9,12,12,13,13,25,12,22,13,0,0,0,0,0,0,0,0,1,5,6,3,3,6,0,0,,,,,,,
55,C.R.C. NO. 2,24091500215,SATYA PRAKASH PRIMARY SCHOOL,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,46,45,49,34,43,36,29,21,31,17,47,0,33,17,23,27,0,0,0,0,0,0,0,0,0,11,11,8,3,11,0,0,,,,,,,
56,C.R.C. NO. 2,24091500216,SATYA PRAKASH VIDHYA SANKUL,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,25,11,24,26,22,17,22,26,27,18,46,0,25,23,20,25,0,0,0,0,0,0,0,0,0,8,8,5,3,8,0,0,,,,,,,
57,C.R.C. NO. 2,24091500217,SATYARTH VIDHYAMANDIR,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,27,20,23,23,30,15,20,28,23,27,40,0,18,26,23,22,0,0,0,0,0,0,0,0,0,8,8,5,3,8,0,0,,,,,,,
58,C.R.C. NO. 2,24091500218,SATYAPRAKASH VIDHYANIKETAN,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,50,41,55,40,53,40,59,42,62,35,0,108,45,55,52,41,0,0,0,0,0,0,0,0,1,15,16,10,6,14,2,0,,,,,,,
59,C.R.C. NO. 2,24091500220,NEST PRI. SCHOOL,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,32,26,41,29,27,34,46,30,60,34,70,42,74,54,89,66,0,0,0,0,0,0,0,0,3,9,12,4,8,12,0,0,,,,,,,
60,C.R.C. NO. 2,24091500221,SARDA VIDHIYALAY,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,48,28,48,34,53,23,37,25,44,39,40,27,38,29,32,9,0,0,0,0,0,0,0,0,0,17,17,9,8,17,0,0,,,,,,,
61,C.R.C. NO. 2,24091500222,SHREYANSH VIDHYALAY,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,21,17,12,13,16,16,22,18,16,14,22,17,19,10,23,19,0,0,0,0,0,0,0,0,2,9,11,6,5,10,0,1,,,,,,,
62,C.R.C. NO. 2,24091500223,SANSKARDHAM KANYA VIDYALAYA,Pvt. Aided                                                                 ,Secondary Only                                                             ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,50,16,47,0,0,0,0,2,3,5,0,0,5,0,0,,,,,,,
63,C.R.C. NO. 2,24091500224,SHAMS MADHYAMIK SHALA,Pvt. Unaided                                                               ,Secondary with Higher Secondary                                            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,13,27,3,13,5,7,2,2,1,3,0,0,0,3,0,,,,,,,
64,C.R.C. NO. 2,24091500225,SHREYANSH MADHYAMIK SHALA,Pvt. Unaided                                                               ,Secondary with Higher Secondary                                            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,7,26,10,7,17,12,3,7,3,10,0,0,4,6,0,,,,,,,
65,C.R.C. NO. 2,24091500226,SANT GARGY SEC. AND HIGH. SEC. SCHOOL,Pvt. Unaided                                                               ,Secondary with Higher Secondary                                            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,6,22,13,12,6,9,8,2,4,6,0,0,5,1,0,,,,,,,
66,C.R.C. NO. 2,24091500227,JALARAM HIGH SCHOOL (GRANTED),Pvt. Aided                                                                 ,Secondary Only                                                             ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,21,32,15,0,0,0,0,2,1,3,0,0,3,0,0,,,,,,,
67,C.R.C. NO. 2,24091500228,JALARAM HIGH SCHOOL (NON-GRANTED),Pvt. Unaided                                                               ,Higher Secondary only/Jr. College                                          ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,9,10,6,1,1,2,0,0,0,2,0,,,,,,,
68,C.R.C. NO. 2,24091500229,SATYA PRAKASH ENGLISH MED SCHOOL,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,34,14,23,24,25,17,13,16,19,15,22,15,10,9,0,0,0,0,0,0,0,0,0,0,2,7,9,6,3,9,0,0,,,,,,,
69,C.R.C. NO. 2,24091500230,SATYA PRAKASH MADHYAMIK SHALA,Pvt. Unaided                                                               ,Secondary with Higher Secondary                                            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,80,111,82,0,38,24,52,3,12,15,0,0,12,3,0,,,,,,,
70,C.R.C. NO. 1,24091500231,ANNPURNA VIDHYALAY,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,8,4,10,3,10,2,9,6,8,6,5,7,10,3,12,7,0,0,0,0,0,0,0,0,6,5,11,0,11,11,0,0,,,,,,,
71,C.R.C. NO. 2,24091500232,KALYAN HIGH SCHOOL,Pvt. Aided                                                                 ,Secondary Only                                                             ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,56,101,62,0,0,0,0,6,2,8,0,0,8,0,0,,,,,,,
72,C.R.C. NO. 2,24091500233,KALYAN HIGH SCHOOL(H.S.),Pvt. Unaided                                                               ,Higher Secondary only/Jr. College                                          ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,67,108,87,9,1,10,0,0,10,0,0,,,,,,,
73,C.R.C. NO. 2,24091500235,MODEL SCHOOL,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,3,0,0,1,2,1,4,3,0,1,4,2,3,3,2,0,0,0,0,0,0,0,0,0,0,5,5,3,2,5,0,0,,,,,,,
74,C.R.C. NO. 2,24091500236,SHREE NIJANAND HIGH SCHOOL,Pvt. Unaided                                                               ,Secondary Only                                                             ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,6,1,0,0,0,0,0,5,5,0,0,5,0,0,,,,,,,
75,C.R.C. NO. 2,24091500237,SANSKARDHAM KANYA VIDYALAYA (H.S.),Pvt. Unaided                                                               ,Higher Secondary only/Jr. College                                          ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,17,1,5,6,0,0,0,6,0,,,,,,,
76,C.R.C. NO. 2,24091500238,FUNLAND ENGLISH MEDIUM SCHOOL,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,22,10,13,12,12,4,10,3,4,3,4,5,3,3,0,0,0,0,0,0,0,0,0,0,0,8,8,8,0,8,0,0,,,,,,,
77,C.R.C. NO. 15,24091500305,SCHOOL NO.51,Municipal School Board(MSB)                                                ,Primary with Upper Primary                                                 ,18,22,14,27,26,17,14,22,25,25,23,25,17,24,25,32,0,0,0,0,0,0,0,0,6,5,11,6,5,11,0,0,,,,,,,
78,C.R.C. NO. 15,24091500307,SCHOOL NO. 62,Municipal School Board(MSB)                                                ,Primary with Upper Primary                                                 ,16,8,7,9,5,13,10,9,7,9,5,11,9,8,0,0,0,0,0,0,0,0,0,0,2,3,5,3,2,5,0,0,,,,,,,
79,C.R.C. NO. 3,24091500308,GANDHI GYAN MANDIR PRI SCHOOL,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,4,6,6,8,4,8,6,5,6,5,11,4,10,8,15,14,0,0,0,0,0,0,0,0,0,12,12,7,5,0,12,0,,,,,,,
80,C.R.C. NO. 3,24091500309,VALMIKI PRIMARY SCHOOL,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,0,0,1,1,0,1,0,0,0,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,,,,,,,
81,C.R.C. NO. 3,24091500310,SWAMI SHANTI PRAKASH PRI. SCHOOL,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,5,13,13,10,11,13,17,7,16,10,8,11,14,6,10,10,0,0,0,0,0,0,0,0,1,8,9,5,4,9,0,0,,,,,,,
82,C.R.C. NO. 3,24091500311,SHREE MATRU LAKSHAMI VIDYALAY,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,4,3,10,8,3,6,8,5,7,9,2,7,5,8,11,5,0,0,0,0,0,0,0,0,2,6,8,4,4,8,0,0,,,,,,,
83,C.R.C. NO. 3,24091500312,AARSH VIDYA MANDIR,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,7,7,10,10,12,12,10,14,5,10,16,8,18,14,7,6,0,0,0,0,0,0,0,0,4,6,10,5,5,10,0,0,,,,,,,
84,C.R.C. NO. 3,24091500313,SARSVATI PRI. VIDHAMANDIR,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,39,24,31,19,23,32,38,30,36,36,32,35,43,29,40,34,0,0,0,0,0,0,0,0,1,17,18,10,8,18,0,0,,,,,,,
85,C.R.C. NO. 3,24091500314,ANAND VIDHALAY PRI. SCHOOL,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,14,12,26,14,11,8,20,12,12,9,15,13,14,14,19,7,0,0,0,0,0,0,0,0,0,2,2,1,1,2,0,0,,,,,,,
86,C.R.C. NO. 3,24091500316,PARTH PRI. SCHOOL,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,46,20,35,33,37,34,30,18,34,16,21,13,31,19,22,15,0,0,0,0,0,0,0,0,3,3,6,3,3,6,0,0,,,,,,,
87,C.R.C. NO. 3,24091500317,SHIVKUNJ VIDYAMANDIR,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,28,22,29,13,21,15,24,20,26,18,21,20,22,12,23,17,0,0,0,0,0,0,0,0,2,8,10,6,4,9,0,1,,,,,,,
88,C.R.C. NO. 3,24091500318,GANDHI GNAN MANDIR HIGH SCHOOL,Pvt. Aided                                                                 ,Secondary Only                                                             ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,15,27,18,0,0,0,0,0,4,4,0,0,0,4,0,,,,,,,
89,C.R.C. NO. 3,24091500319,SARASWATI MADHYAMIK VIDHYA MANDIR,Pvt. Aided                                                                 ,Secondary with Higher Secondary                                            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,51,52,53,56,49,49,58,9,5,14,0,0,14,0,0,,,,,,,
90,C.R.C. NO. 3,24091500320,SHREEJAWAHARSHISHUVIHAR MADH. SHALA,Pvt. Aided                                                                 ,Secondary Only                                                             ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,32,55,22,0,0,0,0,4,2,6,0,0,6,0,0,,,,,,,
91,C.R.C. NO. 3,24091500321,KAPINJAL HIGH SCHOOL,Pvt. Aided                                                                 ,Secondary Only                                                             ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,26,97,6,0,0,0,0,5,1,6,0,0,6,0,0,,,,,,,
92,C.R.C. NO. 3,24091500322,KAPINJAL HIGH SCHOOL (H. S.),Pvt. Unaided                                                               ,Higher Secondary only/Jr. College                                          ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,12,0,1,2,3,0,0,0,3,0,,,,,,,
93,C.R.C. NO. 3,24091500323,SWAMI TEOORAM SINDHI HIGH SCHOOL,Pvt. Aided                                                                 ,Secondary Only                                                             ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,43,38,10,0,0,0,0,3,1,4,0,0,4,0,0,,,,,,,
94,C.R.C. NO. 3,24091500324,A S CHOWDRY HIGH SCHOOL,Pvt. Aided                                                                 ,Secondary with Higher Secondary                                            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,39,0,112,0,89,0,7,4,11,0,0,11,0,0,,,,,,,
95,C.R.C. NO. 3,24091500325,GULMAHOR PRATHMIK SHALA,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,8,4,11,10,7,6,7,3,4,4,5,0,4,1,0,0,0,0,0,0,0,0,0,0,0,3,3,2,1,3,0,0,,,,,,,
96,C.R.C. NO. 19,24091500403,SCHOOL NO.63,Municipal School Board(MSB)                                                ,Primary with Upper Primary                                                 ,9,13,18,13,8,11,16,12,14,15,19,9,19,18,16,26,0,0,0,0,0,0,0,0,3,7,10,6,4,10,0,0,,,,,,,
