no.,dise code,crc no.,school name,school mgt,school cat.,c1_b,c1_g,c2_b,c2_g,c3_b,c3_g,c4_b,c4_g,c5_b,c5_g,c6_b,c6_g,c7_b,c7_g,c8_b,c8_g,c9_b,c9_g,c10_b,c10_g,c11_b,c11_g,c12_b,c12_g,tch_m,tch_f,tch_t,tchregu,tchcont,tchpart,stdcode1,phone1,mobile1,stdcode2,phone2,mobile2,email
11,24091500119,C.R.C. NO. 1,DIVAYN PRI. SCHOOL,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,0,1,1,0,0,1,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,3,7,10,10,0,0,281,2574508,9924266356,,,,
12,24091500120,C.R.C. NO. 1,PURUSARTH VIDHAYAMANDIR,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,13,11,21,13,16,20,26,9,29,11,33,14,24,10,34,16,0,0,0,0,0,0,0,0,1,5,6,0,6,0,281,2584295,9824877454,,,,
13,24091500121,C.R.C. NO. 1,NIDHI PRI. SCHOOL(NIDHI SCHOOL),Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,20,21,20,16,14,25,7,21,18,17,7,13,8,12,10,11,0,0,0,0,0,0,0,0,0,10,10,10,0,0,281,2579342,9898500342,,,9909400342,nidhischoolrajkot@gmail.com
14,24091500123,C.R.C. NO. 1,PRISHARAM PRI. SCHOOL,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,5,2,2,2,4,3,6,5,7,4,3,4,18,2,16,5,0,0,0,0,0,0,0,0,2,6,8,2,6,0,281,2585747,9429048483,,,,parishrameducation78@gmail.com
15,24091500124,C.R.C. NO. 1,NEST ENG.SCHOOL,Pvt. Unaided                                                               ,Primary                                                                    ,15,9,7,4,9,1,5,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5,5,0,0,281,2589180,,,,,
16,24091500125,C.R.C. NO. 1,NAVJIVAN PR.SCHOOL,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,10,8,13,21,15,12,15,20,16,15,13,14,15,19,12,18,0,0,0,0,0,0,0,0,8,0,8,8,0,0,281,2587589,9825258056,,,9428792058,
17,24091500126,C.R.C. NO. 1,AKSHAR GHANMANDIR,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,19,22,27,29,18,13,9,10,10,20,13,12,11,6,9,8,0,0,0,0,0,0,0,0,0,14,14,14,0,0,281,2588685,,,,,schoolagm@yahoo.in
18,24091500129,C.R.C. NO. 1,GYANDIP VIDYALAY,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,30,26,27,28,31,36,23,28,41,39,36,17,44,28,43,34,0,0,0,0,0,0,0,0,2,6,8,8,0,0,281,6454548,9898070607,,,9925409089,gyandeepvidhyalay@gmail.com
19,24091500130,C.R.C. NO. 1,MADHURAM VIDYALAY,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,5,7,5,6,8,8,11,9,2,6,14,7,5,13,12,11,0,0,0,0,0,0,0,0,1,1,2,2,0,0,281,2571441,9726549750,,,,
20,24091500132,C.R.C. NO. 1,S H GARDI VIDYALAY,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,0,1,2,2,1,2,5,4,4,4,4,2,2,1,4,4,0,0,0,0,0,0,0,0,2,0,2,2,0,0,281,,9374816770,,,,
21,24091500133,C.R.C. NO. 1,SHREE DARSAN VIDYALAY,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,21,16,17,13,20,20,34,20,29,17,23,24,33,21,25,24,0,0,0,0,0,0,0,0,1,8,9,9,0,0,281,2574661,,,,8128874145,darsan.school12013@gmail.com
22,24091500135,C.R.C. NO. 1,AKSHAR JYOT VIDYALAY,Pvt. Unaided                                                               ,Pr. Up Pr. and Secondary Only                                              ,10,7,11,10,7,6,8,7,7,7,8,5,8,4,6,6,5,4,0,0,0,0,0,0,0,8,8,8,0,0,281,2455245,9426222266,281,,9714862266,
23,24091500136,C.R.C. NO. 1,SHREE TAXASHILA VIDYALAY RAIYA,Pvt. Aided                                                                 ,Secondary Only                                                             ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,15,22,24,0,0,0,0,3,0,3,3,0,0,281,2574226,9898032831,,,,
24,24091500137,C.R.C. NO. 1,MATRUSHRI AMTHIBA VIDYALAYA,Pvt. Aided                                                                 ,Secondary with Higher Secondary                                            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,55,70,35,36,22,0,0,6,1,7,7,0,0,281,2574661,9426242635,,,9824085563,amthibavidhyalaya@gmail.com
25,24091500138,C.R.C. NO. 1,VISHVA JYOT VIDYALAYA-RAJKOT,Pvt. Aided                                                                 ,Secondary Only                                                             ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,39,54,44,0,0,0,0,4,1,5,5,0,0,281,2571441,9426900158,,,9327606022,
26,24091500139,C.R.C. NO. 1,SARASWATI VIDYALAY,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,19,20,23,21,16,20,20,20,23,20,23,22,26,34,22,17,0,0,0,0,0,0,0,0,1,10,11,11,0,0,281,2582400,9825170083,,,,sanjaypjoshii@gmail.com
27,24091500141,C.R.C. NO. 1,SHREE BHARTI MAHA VIDHYALAYA,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,32,25,21,17,27,19,14,33,16,25,16,13,34,17,21,9,0,0,0,0,0,0,0,0,2,6,8,8,0,0,281,3205044,,,,,
28,24091500142,C.R.C. NO. 1,SWAMI VIVEKANAND PRI. SCHOOL-RAIYA RAJKOT,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,11,5,8,9,8,9,7,8,8,7,7,6,14,5,12,6,0,0,0,0,0,0,0,0,1,6,7,0,7,0,281,2574226,8866163670,,,,
29,24091500143,C.R.C. NO. 1,SHREE SARASWAT VIDHYA NIKETAN,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,17,7,10,11,18,10,13,5,7,7,11,4,9,5,6,1,0,0,0,0,0,0,0,0,2,8,10,10,0,0,,,9427728526,,,,shree saraswatvidhyaniketan@gmail.com
30,24091500144,C.R.C. NO. 1,VIVEKANAND VIDHYALAYA,Pvt. Unaided                                                               ,Secondary with Higher Secondary                                            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,4,24,6,0,0,0,0,1,3,4,2,2,0,281,2585747,9429048483,,,,parishrameducation78@gmail.com
31,24091500145,C.R.C. NO. 1,SHRI ARUNODAYA HIGH SCHOOL,Pvt. Unaided                                                               ,Secondary Only                                                             ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,5,11,0,0,0,0,4,3,7,4,3,0,281,2581009,9824517444,,,9712999933,
32,24091500146,C.R.C. NO. 1,PURUSHARTH SHAIKSHANIK SANKUL,Pvt. Unaided                                                               ,Secondary with Higher Secondary                                            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,15,45,7,14,8,9,4,1,7,8,0,8,0,281,2584295,9824877454,,,,
33,24091500147,C.R.C. NO. 1,SHREE KRISHNA VIDHYALAYA,Pvt. Unaided                                                               ,Pr. with Up.Pr. sec. and H.Sec.                                            ,26,20,24,25,29,23,17,22,23,26,21,23,29,19,18,11,28,11,20,21,17,9,15,3,4,12,16,0,16,0,281,2586206,9429168519,,,,
34,24091500148,C.R.C. NO. 1,UNNATI HIGH SCHOOL,Pvt. Unaided                                                               ,Higher Secondary only/Jr. College                                          ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,14,9,19,1,3,4,4,0,0,281,2582400,9825170083,,,,unnatihighschool2012@gmail.com
35,24091500149,C.R.C. NO. 1,SAURABH HIGH SCHOOL,Pvt. Unaided                                                               ,Secondary Only                                                             ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,27,51,34,0,0,0,0,1,5,6,6,0,0,281,2582400,9825170083,,,,saurabhhighschool2012@gmail.com
36,24091500150,C.R.C. NO. 1,SHREE MOTIBAI HIGH SCHOOL,Pvt. Unaided                                                               ,Secondary Only                                                             ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,14,16,4,0,0,0,0,3,1,4,4,0,0,281,2578276,9978450088,,,,dharatividhyalay22@gmail.com
37,24091500151,C.R.C. NO. 1,SHRI KETAN KANYA VIDHYALAY,Pvt. Aided                                                                 ,Secondary Only                                                             ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,58,40,56,0,0,0,0,2,4,6,5,1,0,281,2572932,9408005640,,,9408527970,skkv123456@gmail.com
38,24091500152,C.R.C. NO. 1,SHREE VIDYASAGAR PRIMARY SCHOOL,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,10,10,9,11,8,3,4,9,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5,5,0,0,,,9924494571,,,,nmjoshi2812@gmail.com
39,24091500153,C.R.C. NO. 1,SHRI MADHAV VIDYALAY,Pvt. Unaided                                                               ,Primary                                                                    ,2,3,5,5,3,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5,5,0,0,,,9824000610,,,8347775441,
40,24091500154,C.R.C. NO. 12,SHRI AMPLE VIDHYA MANDIR,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,2,1,1,0,2,0,11,2,3,0,4,3,18,1,17,5,0,0,0,0,0,0,0,0,4,4,8,0,8,0,,,9426802689,,,9033544352,ampleschool2020@gmail.com
41,24091500155,C.R.C. NO. 12,SHRI GANESH VIDHYALAY,Pvt. Aided                                                                 ,Secondary Only                                                             ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,30,30,14,0,0,0,0,4,0,4,4,0,0,281,2576610,9426483518,,,,ganeshvidhyalay@gmail.com
42,24091500156,C.R.C. NO. 1,NAVJIVAN HIGHSCHOOL - RAJKOT,Pvt. Unaided                                                               ,Secondary Only                                                             ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,13,10,10,0,0,0,0,5,3,8,8,0,0,281,2587589,9825258056,,,,
43,24091500157,C.R.C. NO. 12,AMPLE MADHYAMIK & UCC. MADHYAMIK SHALA,Pvt. Unaided                                                               ,Secondary with Higher Secondary                                            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,17,3,38,5,29,14,3,8,11,1,10,0,,,9426802689,,,9033544352,ample.school2020@gmail.com
44,24091500158,C.R.C. NO. 1,SHRI KETAN KANYA VIDHYALAY (HIG.SEC.) ,Pvt. Unaided                                                               ,Higher Secondary only/Jr. College                                          ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,19,23,1,1,2,0,2,0,281,2572932,9408005640,,,9898070607,skkv123456@gmail.com
45,24091500159,C.R.C. NO. 1,PARISHRAM VIDHAYALAYA (HIG.SEC.),Pvt. Unaided                                                               ,Secondary with Higher Secondary                                            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2,7,1,1,2,3,0,3,0,281,2585747,9429048483,,,,parisheameducation78@gmail.com
46,24091500160,C.R.C. NO. 1,DARSHAN SCHOOL,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,29,17,31,16,25,9,30,10,26,12,23,8,14,9,13,1,0,0,0,0,0,0,0,0,3,5,8,5,3,0,0,,9427505635,,,9879010841,
47,24091500161,C.R.C. NO. 1,VISHVA JYOT VIDYALAYA-RAJKOT,Pvt. Unaided                                                               ,Higher Secondary only/Jr. College                                          ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,24,19,3,2,5,5,0,0,281,2571441,9426900158,,,9327606022,
48,24091500162,C.R.C. NO. 1,NIDHI SCHOOL(ENG.MEDIAM),Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,4,3,2,3,1,0,1,1,1,2,2,0,2,1,0,0,0,0,0,0,0,0,0,0,1,5,6,6,0,0,281,2579342,9898500342,,,9909400342,nidhischoolrajkot@gmail.com
49,24091500163,C.R.C. NO. 1,PATHAK ENGLISH MEDIUM SCHOOL,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,4,4,4,4,4,4,4,4,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,6,6,0,0,281,2584294,9099014497,,,,
50,24091500164,C.R.C. NO. 1,VIVEKANAND VIDHYALAYA,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,1,0,0,0,2,1,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,2,2,0,0,281,2570654,9427720356,,,,
51,24091500202,C.R.C. NO. 8,SCHOOL NO. 3,Municipal School Board(MSB)                                                ,Primary with Upper Primary                                                 ,9,4,11,14,17,14,12,8,18,8,15,5,10,5,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,,,7698635032,,,9879528666,
52,24091500207,C.R.C. NO. 2,SHREE JAGRUTI VIDHYMANDIR,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,,2477004,9714414466,,,9824077793,
53,24091500209,C.R.C. NO. 2,SENT GARGI SCHOOL,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,25,26,12,22,17,15,19,21,19,8,23,19,20,23,27,12,0,0,0,0,0,0,0,0,1,7,8,8,0,0,281,2475919,9825590213,,,9824212949,
54,24091500210,C.R.C. NO. 2,SHREE SANSKARDHAM PRI.SCHOOL,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,13,15,12,16,10,23,15,22,25,28,25,25,15,39,24,22,0,0,0,0,0,0,0,0,1,12,13,13,0,0,281,2457274,8141473636,281,2457590,,sanskardhamkanyavidhyalay@gmail.com
55,24091500213,C.R.C. NO. 2,ADITYA PRIMARY SCHOOL,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,12,9,10,11,9,6,7,6,7,6,7,5,5,1,3,6,0,0,0,0,0,0,0,0,0,9,9,9,0,0,281,2450556,,,,9824246002,adityaschool@yahoo.com
56,24091500214,C.R.C. NO. 2,SHAMS VIDHYALAYA,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,16,5,15,9,17,7,14,14,16,14,30,14,25,12,30,14,0,0,0,0,0,0,0,0,1,7,8,8,0,0,281,2478384,,281,2453072,,shams_sankul@yahoo.co.in
57,24091500215,C.R.C. NO. 2,SATYA PRAKASH PRIMARY SCHOOL,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,33,18,26,22,26,23,31,18,29,19,26,17,19,29,20,19,0,0,0,0,0,0,0,0,0,8,8,8,0,0,281,2490700,9825882510,,,,spschool@in.com
58,24091500216,C.R.C. NO. 2,SATYA PRAKASH VIDHYA SANKUL,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,25,26,24,20,21,23,26,17,30,18,25,24,22,26,29,11,0,0,0,0,0,0,0,0,0,9,9,9,0,0,281,2490700,9825882510,0,0,,svschool@in.com
59,24091500217,C.R.C. NO. 2,SATYARTH VIDHYAMANDIR,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,23,25,34,17,22,23,23,21,20,28,19,28,20,20,25,11,0,0,0,0,0,0,0,0,0,8,8,8,0,0,281,2490700,,,,9825882510,
60,24091500218,C.R.C. NO. 2,SATYAPRAKASH VIDHYANIKETAN,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,58,34,61,41,55,42,65,35,62,38,48,50,52,28,69,40,0,0,0,0,0,0,0,0,1,14,15,15,0,0,281,2490701,9898003644,281,2490701,,svn.mmk@gmail.com
61,24091500220,C.R.C. NO. 2,NEST PRI. SCHOOL,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,43,28,27,32,49,31,55,29,72,41,71,56,79,58,62,47,0,0,0,0,0,0,0,0,4,9,13,13,0,0,281,2453286,,,,,
62,24091500221,C.R.C. NO. 2,SARDA VIDHIYALAY,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,56,36,56,30,44,33,43,52,40,31,45,32,36,9,33,22,0,0,0,0,0,0,0,0,0,17,17,17,0,0,281,2478486,9726932244,,,,
63,24091500222,C.R.C. NO. 2,SHREYANSH VIDHYALAY,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,12,15,11,15,22,21,16,13,23,18,19,9,27,21,27,12,0,0,0,0,0,0,0,0,2,7,9,9,0,0,281,2453758,9725319802,,,,shreyanshschool@gmail.com
64,24091500223,C.R.C. NO. 2,SANSKARDHAM KANYA VIDYALAYA,Pvt. Aided                                                                 ,Secondary Only                                                             ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,61,23,68,0,0,0,0,3,3,6,6,0,0,281,2457274,9898550460,,,,sanskardhamkanyavidhyalay@gmail.com
65,24091500224,C.R.C. NO. 2,SHAMS MADHYAMIK SHALA,Pvt. Unaided                                                               ,Secondary with Higher Secondary                                            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,5,37,13,8,2,15,0,2,0,2,0,2,0,281,2478384,,,,,sams_sankul@yahoo.co.in
66,24091500225,C.R.C. NO. 2,SHREYANSH MADHYAMIK SHALA,Pvt. Unaided                                                               ,Secondary with Higher Secondary                                            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,13,13,7,15,3,12,6,4,4,8,8,0,0,281,2453758,9725319802,,,,shreyanshschool@gmail.com
67,24091500226,C.R.C. NO. 2,SANT GARGY SEC. AND HIGH. SEC. SCHOOL,Pvt. Unaided                                                               ,Secondary with Higher Secondary                                            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,12,17,11,11,9,18,9,2,7,9,9,0,0,281,2475919,9824212949,,,,saintgargyschool888@gmail.com
68,24091500227,C.R.C. NO. 2,JALARAM HIGH SCHOOL (GRANTED),Pvt. Aided                                                                 ,Secondary Only                                                             ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,19,42,15,0,0,0,0,2,1,3,3,0,0,281,2478486,9726932244,,,,jalaramhighs@yahoo.com
69,24091500228,C.R.C. NO. 2,JALARAM HIGH SCHOOL (NON-GRANTED),Pvt. Unaided                                                               ,Higher Secondary only/Jr. College                                          ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,8,22,7,1,0,1,1,0,0,281,2478486,9726932244,,,,jalaramhighs@yahoo.com
70,24091500229,C.R.C. NO. 2,SATYA PRAKASH ENGLISH MED SCHOOL,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,29,23,34,14,28,14,28,17,25,19,19,12,11,6,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,281,2490701,9898003644,,,,svn.mmk@gmail.com
71,24091500230,C.R.C. NO. 2,SATYA PRAKASH MADHYAMIK SHALA,Pvt. Unaided                                                               ,Secondary with Higher Secondary                                            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,85,110,74,26,58,30,38,4,9,13,13,0,0,281,2490701,9898003644,,,,shreesatyaprakashschool@in.com
72,24091500231,C.R.C. NO. 1,ANNPURNA VIDHYALAY,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,23,16,19,8,19,10,13,14,12,11,15,16,22,19,14,27,0,0,0,0,0,0,0,0,6,5,11,11,0,0,281,2587589,9825258056,281,,9428792058,
73,24091500232,C.R.C. NO. 2,KALYAN HIGH SCHOOL,Pvt. Aided                                                                 ,Secondary Only                                                             ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,66,114,63,0,0,0,0,6,2,8,8,0,0,281,2453286,9426216162,,,,kalyanhighschool123@gmail.org
74,24091500233,C.R.C. NO. 2,KALYAN HIGH SCHOOL(H.S.),Pvt. Unaided                                                               ,Higher Secondary only/Jr. College                                          ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,95,83,89,9,1,10,10,0,0,,,9998854516,,,,kalyanhighschool123@gmail.com
75,24091500234,C.R.C. NO. 2,SHREE BHARTI MAHA VIDYALAYA,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,3,7,9,4,2,1,3,2,2,8,2,3,1,4,3,0,0,0,0,0,0,0,0,0,3,3,6,6,0,0,0,,9824474878,,,,bhartimahavidhyalay@gmail.com
76,24091500235,C.R.C. NO. 2,MODEL SCHOOL,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,0,1,2,1,4,4,0,1,5,2,0,4,3,1,5,3,0,0,0,0,0,0,0,0,0,6,6,6,0,0,,,9328998198,,,,srbetn@gmail.com
77,24091500236,C.R.C. NO. 2,SHREE NIJANAND HIGH SCHOOL,Pvt. Unaided                                                               ,Secondary Only                                                             ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,5,5,5,0,0,,,9328982198,,,,srbetn@gmail.com
78,24091500237,C.R.C. NO. 2,SANSKARDHAM KANYA VIDYALAYA (H.S.),Pvt. Unaided                                                               ,Higher Secondary only/Jr. College                                          ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,20,0,4,4,0,4,0,,,9855040060,,,,sanskardhamkanyavidhyalay@gmail.com
79,24091500238,C.R.C. NO. 2,FUNLAND ENGLISH MEDIUM SCHOOL,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,14,12,12,4,9,3,3,3,5,6,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,0,0,281,2477004,8401096660,281,2477004,9979759070,funlandschoo@gmail.com
80,24091500305,C.R.C. NO. 15,SCHOOL NO.51,Municipal School Board(MSB)                                                ,Primary with Upper Primary                                                 ,12,23,21,14,17,24,28,24,22,24,15,22,17,19,19,31,0,0,0,0,0,0,0,0,6,6,12,12,0,0,,,8866625312,,,,rajkotmsbht51@gmail.com
81,24091500307,C.R.C. NO. 15,SCHOOL NO. 62,Municipal School Board(MSB)                                                ,Primary with Upper Primary                                                 ,9,9,5,17,10,7,5,8,5,10,10,8,11,12,0,0,0,0,0,0,0,0,0,0,2,2,4,4,0,0,,,9924307787,,,9924307787,
82,24091500308,C.R.C. NO. 3,GANDHI GYAN MANDIR PRI SCHOOL,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,7,6,5,9,7,4,9,6,8,5,14,15,11,13,17,16,0,0,0,0,0,0,0,0,0,9,9,0,9,0,281,2471038,9427505501,281,2471038,9879844474,ggmmsr@gmail.com
83,24091500309,C.R.C. NO. 3,VALMIKI PRIMARY SCHOOL,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,2,1,0,2,3,2,1,3,2,2,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,281,2441546,,,,9099010100,schoolvalmikiprimary@gmail.com
84,24091500310,C.R.C. NO. 3,SWAMI SHANTI PRAKASH PRI. SCHOOL,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,14,10,11,14,17,8,16,9,12,11,16,9,10,9,8,10,0,0,0,0,0,0,0,0,1,8,9,9,0,0,281,2449972,9408664904,,,,swamiteeoramschoolrajkot@gmail.com
85,24091500311,C.R.C. NO. 3,SHREE MATRU LAKSHAMI VIDYALAY,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,9,10,4,5,10,5,9,10,5,9,4,8,10,7,12,5,0,0,0,0,0,0,0,0,2,6,8,8,0,0,281,2473206,,,,,matrulaxmi@yahoo.in
86,24091500312,C.R.C. NO. 3,AARSH VIDYA MANDIR,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,11,9,12,12,9,14,5,8,13,9,19,16,6,7,11,13,0,0,0,0,0,0,0,0,3,8,11,11,0,0,281,2440635,8155050106,,,,aarshvidhyamandir@gmail.com
87,24091500313,C.R.C. NO. 3,SARSVATI PRI. VIDHAMANDIR,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,33,24,24,37,42,27,36,34,27,43,41,33,44,33,37,31,0,0,0,0,0,0,0,0,0,17,17,17,0,0,281,2449677,,,,9429577606,spvm_rajkot@yahoo.in
88,24091500314,C.R.C. NO. 3,ANAND VIDHALAY PRI. SCHOOL,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,28,16,14,8,23,7,15,7,10,13,15,13,11,10,18,17,0,0,0,0,0,0,0,0,0,2,2,2,0,0,281,2471270,,,,9408613444,jsvmsrst@gmail.com
