s.no,crc_no,dise_code,school_name,mgmt,school_level,c1_b,c1_g,c2_b,c2_g,c3_b,c3_g,c4_b,c4_g,c5_b,c5_g,c6_b,c6_g,c7_b,c7_g,c8_b,c8_g,c9_b,c9_g,c10_b,c10_g,c11_b,c11_g,c12_b,c12_g,tch_m,tch_f,tch_t,tchpri,tchupr,tchregu,tchcont,tchpart,std,phone_1,mobile_1,phone_2,mobile_2,email,website
23,C.R.C. NO. 1,24091500136,SHREE TAXASHILA VIDYALAY RAIYA,Govt. Aided (Pvt.)                                                         ,Secondary Only                                                             ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,20,23,13,0,0,0,0,4,0,4,0,0,4,0,0,281,2574226,9909215505,,9909215505,,
24,C.R.C. NO. 1,24091500137,MATRUSHRI AMTHIBA VIDYALAYA,Govt. Aided (Pvt.)                                                         ,Secondary with Higher Secondary                                            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,51,56,50,27,38,26,22,6,1,7,0,0,7,0,0,281,2574661,9426242635,,9824085563,amthibavidhyalaya@gmail.com,
25,C.R.C. NO. 1,24091500138,VISHVA JYOT VIDYALAYA-RAJKOT,Govt. Aided (Pvt.)                                                         ,Secondary Only                                                             ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,45,49,26,0,0,0,0,4,1,5,0,0,5,0,0,281,2571441,9426900158,,9327606022,,
26,C.R.C. NO. 1,24091500139,SARASWATI VIDYALAY,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,9,17,14,14,15,14,21,17,15,18,16,11,24,15,18,19,0,0,0,0,0,0,0,0,1,8,9,7,2,9,0,0,281,2582400,9825170083,,9825170083,sanjaypjoshii@gmail.com,
27,C.R.C. NO. 1,24091500141,SHREE BHARTI MAHA VIDHYALAYA,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,21,19,11,12,22,15,19,11,22,15,17,29,17,17,12,13,0,0,0,0,0,0,0,0,2,6,8,4,4,8,0,0,0,0,8141459636,,8141459636,,
28,C.R.C. NO. 1,24091500142,SWAMI VIVEKANAND PRI. SCHOOL-RAIYA RAJKOT,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,9,5,9,7,6,3,6,8,4,7,4,10,10,5,6,3,0,0,0,0,0,0,0,0,1,6,7,6,1,2,5,0,281,2574226,8866163670,,8866163670,,
29,C.R.C. NO. 1,24091500143,SHREE SARASWAT VIDHYA NIKETAN,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,15,4,14,5,12,5,9,13,16,9,8,7,8,6,8,4,0,0,0,0,0,0,0,0,3,7,10,9,1,10,0,0,,,9427728526,,9427728526,shree saraswatvidhyaniketan@gmail.com,
30,C.R.C. NO. 1,24091500144,VIVEKANAND VIDHYALAYA,Pvt. Unaided                                                               ,Secondary with Higher Secondary                                            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2,9,0,0,0,0,0,2,2,4,0,0,2,2,0,281,,9429048483,,9429048483,parishrameducation78@gmail.com,
31,C.R.C. NO. 1,24091500145,SHRI ARUNODAYA HIGH SCHOOL,Pvt. Unaided                                                               ,Secondary Only                                                             ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,4,2,0,0,0,0,4,2,6,0,0,3,3,0,281,2581009,9824517444,,9712999933,mandaviyanb@gmail.com,
32,C.R.C. NO. 1,24091500146,PURUSHARTH SHAIKSHANIK SANKUL,Pvt. Unaided                                                               ,Secondary with Higher Secondary                                            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,8,40,9,14,10,28,4,3,5,8,0,0,2,6,0,281,2584295,9824877454,,9824877454,purusharthschool@gmail.com,
33,C.R.C. NO. 1,24091500147,SHREE KRISHNA VIDHYALAYA,Pvt. Unaided                                                               ,Pr. with Up.Pr. sec. and H.Sec.                                            ,29,26,21,17,25,17,21,21,32,28,23,22,27,26,23,19,24,17,28,12,22,6,18,15,5,11,16,7,3,4,12,0,281,2586206,9429168519,,9429168519,,
34,C.R.C. NO. 1,24091500148,UNNATI HIGH SCHOOL,Pvt. Unaided                                                               ,Higher Secondary only/Jr. College                                          ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,16,6,1,3,4,0,0,4,0,0,281,2582400,9825170083,,9825170083,unnatihighschool2012@gmail.com,
35,C.R.C. NO. 1,24091500149,SAURABH HIGH SCHOOL,Pvt. Unaided                                                               ,Secondary with Higher Secondary                                            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,40,26,25,3,5,5,4,0,7,7,0,0,7,0,0,281,2582400,9825170083,,9825170083,saurabhhighschool2012@gmail.com,
36,C.R.C. NO. 1,24091500150,SHREE MOTIBAI HIGH SCHOOL,Pvt. Unaided                                                               ,Secondary Only                                                             ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,23,12,0,0,0,0,4,1,5,0,0,5,0,0,281,2578276,9978450088,,9978450088,dharatividhyalay22@gmail.com,
37,C.R.C. NO. 1,24091500151,SHRI KETAN KANYA VIDHYALAY,Govt. Aided (Pvt.)                                                         ,Secondary Only                                                             ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,48,53,43,0,0,0,0,1,2,3,0,0,3,0,0,0,0,9408005640,,9408527970,skkv123456@gmail.com,
38,C.R.C. NO. 1,24091500152,SHREE VIDYASAGAR PRIMARY SCHOOL,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,3,10,11,5,4,5,0,4,2,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5,4,1,5,0,0,,,9924494571,,9924494571,nmjoshi2812@gmail.com,
39,C.R.C. NO. 12,24091500154,SHRI AMPLE VIDHYA MANDIR,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,1,1,0,0,4,1,2,0,2,0,5,0,7,0,4,0,0,0,0,0,0,0,0,0,3,3,6,3,3,2,4,0,,,9558812001,,9558815001,ampleschool2020@gmail.com,
40,C.R.C. NO. 12,24091500155,SHRI GANESH VIDHYALAY,Govt. Aided (Pvt.)                                                         ,Secondary Only                                                             ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,21,25,17,0,0,0,0,3,1,4,0,0,4,0,0,281,2576610,9426483518,,9426483518,ganeshvidhyalay@gmail.com,
41,C.R.C. NO. 1,24091500156,NAVJIVAN HIGHSCHOOL - RAJKOT,Pvt. Unaided                                                               ,Secondary Only                                                             ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,14,10,0,0,0,0,5,3,8,0,0,8,0,0,0,0,9409433946,,9409433946,,
42,C.R.C. NO. 12,24091500157,AMPLE MADHYAMIK & UCC. MADHYAMIK SHALA,Pvt. Unaided                                                               ,Secondary with Higher Secondary                                            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,5,3,0,0,0,0,3,3,6,0,0,2,4,0,,,9558812001,,9558815001,ample.school2020@gmail.com,
43,C.R.C. NO. 1,24091500158,SHRI KETAN KANYA VIDHYALAY (HIG.SEC.) ,Pvt. Unaided                                                               ,Higher Secondary only/Jr. College                                          ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,15,1,25,0,1,1,0,0,1,0,0,0,0,9408005640,,9408527970,skkv123456@gmail.com,
44,C.R.C. NO. 1,24091500159,PARISHRAM VIDHAYALAYA (HIG.SEC.),Pvt. Unaided                                                               ,Secondary with Higher Secondary                                            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,5,1,3,1,4,0,0,2,2,0,281,2585747,9429048483,,9429048483,parisheameducation78@gmail.com,
45,C.R.C. NO. 1,24091500160,DARSHAN SCHOOL,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,31,11,27,19,16,15,25,11,24,11,24,8,26,8,18,4,0,0,0,0,0,0,0,0,4,4,8,4,4,5,3,0,0,,9427505635,,9879010841,,
46,C.R.C. NO. 1,24091500161,VISHVA JYOT VIDYALAYA-RAJKOT,Pvt. Unaided                                                               ,Higher Secondary only/Jr. College                                          ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,39,21,3,2,5,0,0,5,0,0,281,2571441,9426900158,,9327606022,,
47,C.R.C. NO. 1,24091500162,NIDHI SCHOOL(ENG.MEDIAM),Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,9,17,3,4,3,2,3,1,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,2,9,11,5,6,11,0,0,281,2579342,9898500342,,9909400342,nidhischoolrajkot@gmail.com,www.nidhischool.com
48,C.R.C. NO. 1,24091500163,PATHAK ENGLISH MEDIUM SCHOOL,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,9,15,10,6,7,5,6,1,3,4,9,0,6,1,6,2,0,0,0,0,0,0,0,0,2,6,8,3,5,7,1,0,281,2584294,8980809057,,8980809057,psshitdpark@gmail.com,
49,C.R.C. NO. 1,24091500165,SHREE SARSWATI VIDHYALAY,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,20,31,17,27,28,26,12,6,25,17,11,16,11,8,2,7,0,0,0,0,0,0,0,0,1,7,8,7,1,2,6,0,281,,9824114114,,9824114114,vasanthadiyel@rediffmail,
50,C.R.C. NO. 1,24091500166,UNNATI SCHOOL(ENGLISH),Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,2,0,0,281,2582400,9825170083,,9825170083,,
51,C.R.C. NO. 1,24091500167,SHREE KRISHNA ENGLISH MEDIUM SCHOOL,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,5,9,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,1,3,0,0,281,2586206,9638923180,,9638923180,,
52,C.R.C. NO. 8,24091500202,SCHOOL NO. 3,Municipal School Board(MSB)                                                ,Primary with Upper Primary                                                 ,2,4,4,5,6,2,13,4,14,8,9,4,13,1,0,0,0,0,0,0,0,0,0,0,0,5,5,3,2,5,0,0,,,7698635032,,9879528666,,
53,C.R.C. NO. 2,24091500209,SENT GARGI SCHOOL,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,29,20,29,16,20,26,15,22,22,13,19,18,18,9,21,16,0,0,0,0,0,0,0,0,0,8,8,4,4,7,1,0,281,2475919,9825590213,,9824212949,,
54,C.R.C. NO. 2,24091500210,SHREE SANSKARDHAM PRI.SCHOOL,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,10,7,12,10,13,17,14,18,15,22,20,16,26,39,20,25,0,0,0,0,0,0,0,0,0,10,10,5,5,10,0,0,281,2457274,8141473636,2457590,,sanskardhamkanyavidhyalay@gmail.com,
55,C.R.C. NO. 2,24091500213,ADITYA PRIMARY SCHOOL,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,6,5,6,7,12,7,8,6,11,1,10,8,5,6,6,7,0,0,0,0,0,0,0,0,1,10,11,6,5,11,0,0,281,2450556,,,9824246002,adityaschool@yahoo.com,
56,C.R.C. NO. 2,24091500214,SHAMS VIDHYALAYA,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,6,10,16,9,12,6,14,6,13,9,16,12,18,13,31,16,0,0,0,0,0,0,0,0,1,5,6,3,3,6,0,0,281,2478384,9825093233,2453072,,shamsschools.3233@gmail.com,
57,C.R.C. NO. 2,24091500215,SATYA PRAKASH PRIMARY SCHOOL,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,54,41,45,41,49,33,45,36,27,23,28,17,45,0,29,16,0,0,0,0,0,0,0,0,0,20,20,13,7,20,0,0,281,2490700,9825882510,,,spschool@in.com,
58,C.R.C. NO. 2,24091500216,SATYA PRAKASH VIDHYA SANKUL,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,28,19,27,13,25,25,20,22,22,26,27,16,41,1,24,22,0,0,0,0,0,0,0,0,0,9,9,5,4,9,0,0,281,2490700,9825882510,0,,svschool@in.com,
59,C.R.C. NO. 2,24091500217,SATYARTH VIDHYAMANDIR,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,45,36,27,21,23,25,31,16,20,30,24,22,43,11,15,24,0,0,0,0,0,0,0,0,0,9,9,6,3,9,0,0,281,2490700,,,9825882510,,s-school@in.com
60,C.R.C. NO. 2,24091500218,SATYAPRAKASH VIDHYANIKETAN,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,62,48,57,33,70,44,63,41,56,46,61,39,1,101,35,57,0,0,0,0,0,0,0,0,1,16,17,10,7,17,0,0,281,2490701,9898003644,2490701,,svn.mmk@gmail.com,
61,C.R.C. NO. 2,24091500220,NEST PRI. SCHOOL,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,30,41,25,19,37,27,31,23,39,26,49,28,63,39,74,50,0,0,0,0,0,0,0,0,3,7,10,4,6,10,0,0,281,2453286,9426404783,,,,nestprimaryschool123@gmail.com
62,C.R.C. NO. 2,24091500221,SARDA VIDHIYALAY,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,40,21,40,24,40,31,46,19,36,19,41,31,36,22,37,26,0,0,0,0,0,0,0,0,0,17,17,9,8,17,0,0,281,2478486,9726932244,,,,
63,C.R.C. NO. 2,24091500222,SHREYANSH VIDHYALAY,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,16,19,17,16,13,13,15,16,24,15,16,16,21,15,18,14,0,0,0,0,0,0,0,0,1,8,9,6,3,8,0,1,281,2453758,9725319802,,,shreyanshschool@gmail.com,
64,C.R.C. NO. 2,24091500223,SANSKARDHAM KANYA VIDYALAYA,Govt. Aided (Pvt.)                                                         ,Secondary Only                                                             ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,56,15,36,0,0,0,0,2,3,5,0,0,5,0,0,281,2457274,9898550460,,,sanskardhamkanyavidhyalay@gmail.com,
65,C.R.C. NO. 2,24091500224,SHAMS MADHYAMIK SHALA,Pvt. Unaided                                                               ,Secondary with Higher Secondary                                            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,14,27,14,15,1,12,5,2,1,3,0,0,2,1,0,281,2478384,9825093233,,9825093233,sams_sankul@yahoo.co.in,shams schools3233@gmail.com
66,C.R.C. NO. 2,24091500225,SHREYANSH MADHYAMIK SHALA,Pvt. Unaided                                                               ,Secondary with Higher Secondary                                            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,20,22,8,11,11,7,15,6,2,8,0,0,2,6,0,281,2453758,9725319802,,,shreyanshschool@gmail.com,
67,C.R.C. NO. 2,24091500226,SANT GARGY SEC. AND HIGH. SEC. SCHOOL,Pvt. Unaided                                                               ,Secondary with Higher Secondary                                            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,14,24,4,10,10,16,5,2,4,6,0,0,5,1,0,281,2475919,9824212949,,9824212949,saintgargyschool888@gmail.com,
68,C.R.C. NO. 2,24091500227,JALARAM HIGH SCHOOL (GRANTED),Govt. Aided (Pvt.)                                                         ,Secondary Only                                                             ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,13,36,20,0,0,0,0,2,1,3,0,0,3,0,0,281,2478486,9726932244,,,jalaramhighschool111@gmail.com,http://www.yourwebsite.com
69,C.R.C. NO. 2,24091500228,JALARAM HIGH SCHOOL (NON-GRANTED),Pvt. Unaided                                                               ,Higher Secondary only/Jr. College                                          ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2,28,8,1,1,2,0,0,1,1,0,281,2478486,9726932244,,,jalaramhighschool111@gmail.com,http://youwebsite.com
70,C.R.C. NO. 2,24091500229,SATYA PRAKASH ENGLISH MED SCHOOL,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,25,28,28,11,21,18,25,11,14,10,19,9,18,10,0,0,0,0,0,0,0,0,0,0,2,7,9,6,3,9,0,0,281,2490701,9898003644,,,svn.mmk@gmail.com,
71,C.R.C. NO. 2,24091500230,SATYA PRAKASH MADHYAMIK SHALA,Pvt. Unaided                                                               ,Secondary with Higher Secondary                                            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,92,125,79,29,45,0,39,2,12,14,0,0,11,3,0,281,2490701,9898003644,,9898003644,shreesatyaprakashschool@in.com,
72,C.R.C. NO. 1,24091500231,ANNPURNA VIDHYALAY,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,8,4,9,3,10,5,7,5,6,4,7,5,9,6,8,4,0,0,0,0,0,0,0,0,6,5,11,1,10,11,0,0,281,2587589,9825258056,,9428792058,,
73,C.R.C. NO. 2,24091500232,KALYAN HIGH SCHOOL,Govt. Aided (Pvt.)                                                         ,Secondary Only                                                             ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,85,90,61,0,0,0,0,6,2,8,0,0,8,0,0,281,2453286,9426216162,,,kalyanhighschool123@gmail.org,nestgroup.org
74,C.R.C. NO. 2,24091500233,KALYAN HIGH SCHOOL(H.S.),Pvt. Unaided                                                               ,Higher Secondary only/Jr. College                                          ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,61,97,68,9,2,11,0,0,11,0,0,281,2453286,9426404783,,9426216162,kalyanhighschool123@gmail.com,nesgroup.org
75,C.R.C. NO. 2,24091500235,MODEL SCHOOL,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,1,1,1,0,0,1,2,1,3,4,0,1,3,3,3,2,0,0,0,0,0,0,0,0,0,5,5,3,2,5,0,0,,,9328998198,,,srbetn@gmail.com,
76,C.R.C. NO. 2,24091500236,SHREE NIJANAND HIGH SCHOOL,Pvt. Unaided                                                               ,Secondary Only                                                             ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,2,0,0,0,0,0,5,5,0,0,5,0,0,,,9328982198,,9328982198,srbetn@gmail.com,
77,C.R.C. NO. 2,24091500237,SANSKARDHAM KANYA VIDYALAYA (H.S.),Pvt. Unaided                                                               ,Higher Secondary only/Jr. College                                          ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,13,0,17,4,1,5,0,0,1,4,0,,,9855040060,,,sanskardhamkanyavidhyalay@gmail.com,
78,C.R.C. NO. 2,24091500238,FUNLAND ENGLISH MEDIUM SCHOOL,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,19,15,15,12,14,14,11,7,9,4,4,4,6,4,2,3,0,0,0,0,0,0,0,0,0,11,11,8,3,11,0,0,281,2477004,9824077793,2477004,9824077793,funlandschoo@gmail.com,
79,C.R.C. NO. 15,24091500305,SCHOOL NO.51,Municipal School Board(MSB)                                                ,Primary with Upper Primary                                                 ,20,9,13,18,11,28,23,19,13,22,23,23,23,24,25,26,0,0,0,0,0,0,0,0,6,5,11,6,5,11,0,0,,,8866625312,,8866625312,rajkotmsbht51@gmail.com,
80,C.R.C. NO. 15,24091500307,SCHOOL NO. 62,Municipal School Board(MSB)                                                ,Primary with Upper Primary                                                 ,13,12,16,11,9,10,8,13,10,7,8,9,5,10,0,0,0,0,0,0,0,0,0,0,2,3,5,3,2,5,0,0,,,9714662400,,9714662400,,
81,C.R.C. NO. 3,24091500308,GANDHI GYAN MANDIR PRI SCHOOL,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,5,3,3,7,7,10,4,5,5,4,7,5,11,4,10,8,0,0,0,0,0,0,0,0,0,11,11,7,4,2,9,0,281,2471038,9427505501,2471038,9879844474,ggmmsr@gmail.com,http://yourwebsite.com
82,C.R.C. NO. 3,24091500310,SWAMI SHANTI PRAKASH PRI. SCHOOL,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,12,6,5,12,12,10,10,12,16,10,14,12,10,9,12,7,0,0,0,0,0,0,0,0,1,7,8,4,4,8,0,0,281,2449972,9408664904,,9408664904,swamiteeoramschoolrajkot@gmail.com,
83,C.R.C. NO. 3,24091500311,SHREE MATRU LAKSHAMI VIDYALAY,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,2,5,3,3,6,6,3,6,7,4,5,6,2,7,4,4,0,0,0,0,0,0,0,0,2,6,8,4,4,8,0,0,0,0,9904000181,,9904000181,matrulaxmi@yahoo.in,
